cell,species,Habitat
2323311,Abies nordmanniana,DryPoor
2325612,Abies nordmanniana,DryPoor
2332679,Abies nordmanniana,DryPoor
2344250,Abies nordmanniana,DryPoor
2344253,Abies nordmanniana,DryPoor
2346550,Abies nordmanniana,DryPoor
2346551,Abies nordmanniana,DryPoor
2346554,Abies nordmanniana,DryPoor
2348853,Abies nordmanniana,DryPoor
2348854,Abies nordmanniana,DryPoor
2351152,Abies nordmanniana,DryPoor
2357656,Abies nordmanniana,DryPoor
2357855,Abies nordmanniana,DryPoor
2357865,Abies nordmanniana,DryPoor
2357866,Abies nordmanniana,DryPoor
2359954,Abies nordmanniana,DryPoor
2359955,Abies nordmanniana,DryPoor
2359957,Abies nordmanniana,DryPoor
2360154,Abies nordmanniana,DryPoor
2360155,Abies nordmanniana,DryPoor
2360156,Abies nordmanniana,DryPoor
2360165,Abies nordmanniana,DryPoor
2360261,Abies nordmanniana,DryPoor
2362256,Abies nordmanniana,DryPoor
2362257,Abies nordmanniana,DryPoor
2362258,Abies nordmanniana,DryPoor
2362455,Abies nordmanniana,DryPoor
2362456,Abies nordmanniana,DryPoor
2362457,Abies nordmanniana,DryPoor
2362458,Abies nordmanniana,DryPoor
2362468,Abies nordmanniana,DryPoor
2362561,Abies nordmanniana,DryPoor
2362562,Abies nordmanniana,DryPoor
2364556,Abies nordmanniana,DryPoor
2364557,Abies nordmanniana,DryPoor
2364558,Abies nordmanniana,DryPoor
2364754,Abies nordmanniana,DryPoor
2364756,Abies nordmanniana,DryPoor
2364757,Abies nordmanniana,DryPoor
2364758,Abies nordmanniana,DryPoor
2364768,Abies nordmanniana,DryPoor
2364862,Abies nordmanniana,DryPoor
2364863,Abies nordmanniana,DryPoor
2364948,Abies nordmanniana,DryPoor
2364949,Abies nordmanniana,DryPoor
2366854,Abies nordmanniana,DryPoor
2366855,Abies nordmanniana,DryPoor
2366856,Abies nordmanniana,DryPoor
2366857,Abies nordmanniana,DryPoor
2367054,Abies nordmanniana,DryPoor
2367056,Abies nordmanniana,DryPoor
2367057,Abies nordmanniana,DryPoor
2369546,Abies nordmanniana,DryPoor
2369548,Abies nordmanniana,DryPoor
2371541,Abies nordmanniana,DryPoor
2371542,Abies nordmanniana,DryPoor
2371816,Abies nordmanniana,DryPoor
2371847,Abies nordmanniana,DryPoor
2371848,Abies nordmanniana,DryPoor
2371871,Abies nordmanniana,DryPoor
2372665,Abies nordmanniana,DryPoor
2373839,Abies nordmanniana,DryPoor
2373840,Abies nordmanniana,DryPoor
2373841,Abies nordmanniana,DryPoor
2373843,Abies nordmanniana,DryPoor
2374172,Abies nordmanniana,DryPoor
2376139,Abies nordmanniana,DryPoor
2376140,Abies nordmanniana,DryPoor
2376142,Abies nordmanniana,DryPoor
2376143,Abies nordmanniana,DryPoor
2378403,Abies nordmanniana,DryPoor
2378442,Abies nordmanniana,DryPoor
2378443,Abies nordmanniana,DryPoor
2380702,Abies nordmanniana,DryPoor
2380703,Abies nordmanniana,DryPoor
2380704,Abies nordmanniana,DryPoor
2380705,Abies nordmanniana,DryPoor
2380742,Abies nordmanniana,DryPoor
2383001,Abies nordmanniana,DryPoor
2383004,Abies nordmanniana,DryPoor
2383005,Abies nordmanniana,DryPoor
2385301,Abies nordmanniana,DryPoor
2385304,Abies nordmanniana,DryPoor
2385305,Abies nordmanniana,DryPoor
2387602,Abies nordmanniana,DryPoor
2387604,Abies nordmanniana,DryPoor
2394817,Abies nordmanniana,DryPoor
2397058,Abies nordmanniana,DryPoor
2397061,Abies nordmanniana,DryPoor
2397174,Abies nordmanniana,DryPoor
2397175,Abies nordmanniana,DryPoor
2399357,Abies nordmanniana,DryPoor
2399358,Abies nordmanniana,DryPoor
2399359,Abies nordmanniana,DryPoor
2399474,Abies nordmanniana,DryPoor
2399475,Abies nordmanniana,DryPoor
2401657,Abies nordmanniana,DryPoor
2401773,Abies nordmanniana,DryPoor
2404075,Abies nordmanniana,DryPoor
2404076,Abies nordmanniana,DryPoor
2406375,Abies nordmanniana,DryPoor
2406376,Abies nordmanniana,DryPoor
2408376,Abies nordmanniana,DryPoor
2408377,Abies nordmanniana,DryPoor
2412974,Abies nordmanniana,DryPoor
2412976,Abies nordmanniana,DryPoor
2412977,Abies nordmanniana,DryPoor
2415274,Abies nordmanniana,DryPoor
2415275,Abies nordmanniana,DryPoor
2415276,Abies nordmanniana,DryPoor
2415277,Abies nordmanniana,DryPoor
2417814,Abies nordmanniana,DryPoor
2422415,Abies nordmanniana,DryPoor
2424714,Abies nordmanniana,DryPoor
2430239,Abies nordmanniana,DryPoor
2434837,Abies nordmanniana,DryPoor
2437140,Abies nordmanniana,DryPoor
2447611,Abies nordmanniana,DryPoor
2447612,Abies nordmanniana,DryPoor
2449895,Abies nordmanniana,DryPoor
2449896,Abies nordmanniana,DryPoor
2449911,Abies nordmanniana,DryPoor
2449912,Abies nordmanniana,DryPoor
2449913,Abies nordmanniana,DryPoor
2452194,Abies nordmanniana,DryPoor
2452195,Abies nordmanniana,DryPoor
2452196,Abies nordmanniana,DryPoor
2452210,Abies nordmanniana,DryPoor
2452211,Abies nordmanniana,DryPoor
2452212,Abies nordmanniana,DryPoor
2452213,Abies nordmanniana,DryPoor
2452214,Abies nordmanniana,DryPoor
2454494,Abies nordmanniana,DryPoor
2454495,Abies nordmanniana,DryPoor
2454496,Abies nordmanniana,DryPoor
2454497,Abies nordmanniana,DryPoor
2454498,Abies nordmanniana,DryPoor
2454510,Abies nordmanniana,DryPoor
2454511,Abies nordmanniana,DryPoor
2454512,Abies nordmanniana,DryPoor
2454513,Abies nordmanniana,DryPoor
2456794,Abies nordmanniana,DryPoor
2456795,Abies nordmanniana,DryPoor
2456796,Abies nordmanniana,DryPoor
2456797,Abies nordmanniana,DryPoor
2456798,Abies nordmanniana,DryPoor
2456810,Abies nordmanniana,DryPoor
2456811,Abies nordmanniana,DryPoor
2456812,Abies nordmanniana,DryPoor
2456813,Abies nordmanniana,DryPoor
2459094,Abies nordmanniana,DryPoor
2459095,Abies nordmanniana,DryPoor
2459096,Abies nordmanniana,DryPoor
2459097,Abies nordmanniana,DryPoor
2479984,Abies nordmanniana,DryPoor
2479986,Abies nordmanniana,DryPoor
2482066,Abies nordmanniana,DryPoor
2484364,Abies nordmanniana,DryPoor
2484365,Abies nordmanniana,DryPoor
2484366,Abies nordmanniana,DryPoor
2484367,Abies nordmanniana,DryPoor
2486664,Abies nordmanniana,DryPoor
2486665,Abies nordmanniana,DryPoor
2486667,Abies nordmanniana,DryPoor
2486668,Abies nordmanniana,DryPoor
2488964,Abies nordmanniana,DryPoor
2488965,Abies nordmanniana,DryPoor
2488967,Abies nordmanniana,DryPoor
2488968,Abies nordmanniana,DryPoor
2491264,Abies nordmanniana,DryPoor
2491265,Abies nordmanniana,DryPoor
2491266,Abies nordmanniana,DryPoor
2491267,Abies nordmanniana,DryPoor
2503677,Abies nordmanniana,DryPoor
2503682,Abies nordmanniana,DryPoor
2505980,Abies nordmanniana,DryPoor
2507416,Abies nordmanniana,DryPoor
2508279,Abies nordmanniana,DryPoor
2508280,Abies nordmanniana,DryPoor
2509712,Abies nordmanniana,DryPoor
2510581,Abies nordmanniana,DryPoor
2512012,Abies nordmanniana,DryPoor
2512016,Abies nordmanniana,DryPoor
2512017,Abies nordmanniana,DryPoor
2512018,Abies nordmanniana,DryPoor
2514315,Abies nordmanniana,DryPoor
2514316,Abies nordmanniana,DryPoor
2514317,Abies nordmanniana,DryPoor
2516612,Abies nordmanniana,DryPoor
2525706,Abies nordmanniana,DryPoor
2525708,Abies nordmanniana,DryPoor
2525832,Abies nordmanniana,DryPoor
2525833,Abies nordmanniana,DryPoor
2526683,Abies nordmanniana,DryPoor
2528034,Abies nordmanniana,DryPoor
2528035,Abies nordmanniana,DryPoor
2528132,Abies nordmanniana,DryPoor
2530082,Abies nordmanniana,DryPoor
2530309,Abies nordmanniana,DryPoor
2530333,Abies nordmanniana,DryPoor
2530335,Abies nordmanniana,DryPoor
2532382,Abies nordmanniana,DryPoor
2532383,Abies nordmanniana,DryPoor
2532384,Abies nordmanniana,DryPoor
2532609,Abies nordmanniana,DryPoor
2532633,Abies nordmanniana,DryPoor
2532634,Abies nordmanniana,DryPoor
2532635,Abies nordmanniana,DryPoor
2534933,Abies nordmanniana,DryPoor
2537233,Abies nordmanniana,DryPoor
2537236,Abies nordmanniana,DryPoor
2548957,Abies nordmanniana,DryPoor
2562321,Abies nordmanniana,DryPoor
2564619,Abies nordmanniana,DryPoor
2564620,Abies nordmanniana,DryPoor
2564621,Abies nordmanniana,DryPoor
2564890,Abies nordmanniana,DryPoor
2564891,Abies nordmanniana,DryPoor
2566919,Abies nordmanniana,DryPoor
2566920,Abies nordmanniana,DryPoor
2566923,Abies nordmanniana,DryPoor
2567190,Abies nordmanniana,DryPoor
2567191,Abies nordmanniana,DryPoor
2569219,Abies nordmanniana,DryPoor
2569220,Abies nordmanniana,DryPoor
2569221,Abies nordmanniana,DryPoor
2569489,Abies nordmanniana,DryPoor
2569490,Abies nordmanniana,DryPoor
2569491,Abies nordmanniana,DryPoor
2569493,Abies nordmanniana,DryPoor
2569701,Abies nordmanniana,DryPoor
2571521,Abies nordmanniana,DryPoor
2571522,Abies nordmanniana,DryPoor
2571789,Abies nordmanniana,DryPoor
2571790,Abies nordmanniana,DryPoor
2571792,Abies nordmanniana,DryPoor
2571793,Abies nordmanniana,DryPoor
2574089,Abies nordmanniana,DryPoor
2574091,Abies nordmanniana,DryPoor
2574092,Abies nordmanniana,DryPoor
2574314,Abies nordmanniana,DryPoor
2576365,Abies nordmanniana,DryPoor
2576366,Abies nordmanniana,DryPoor
2576614,Abies nordmanniana,DryPoor
2583267,Abies nordmanniana,DryPoor
2583268,Abies nordmanniana,DryPoor
2585727,Abies nordmanniana,DryPoor
2587660,Abies nordmanniana,DryPoor
2587865,Abies nordmanniana,DryPoor
2587866,Abies nordmanniana,DryPoor
2589959,Abies nordmanniana,DryPoor
2589960,Abies nordmanniana,DryPoor
2589962,Abies nordmanniana,DryPoor
2590164,Abies nordmanniana,DryPoor
2590165,Abies nordmanniana,DryPoor
2590166,Abies nordmanniana,DryPoor
2590167,Abies nordmanniana,DryPoor
2592259,Abies nordmanniana,DryPoor
2592260,Abies nordmanniana,DryPoor
2592261,Abies nordmanniana,DryPoor
2592468,Abies nordmanniana,DryPoor
2594560,Abies nordmanniana,DryPoor
2594563,Abies nordmanniana,DryPoor
2595638,Abies nordmanniana,DryPoor
2596859,Abies nordmanniana,DryPoor
2596860,Abies nordmanniana,DryPoor
2596861,Abies nordmanniana,DryPoor
2596862,Abies nordmanniana,DryPoor
2597067,Abies nordmanniana,DryPoor
2601473,Abies nordmanniana,DryPoor
2603772,Abies nordmanniana,DryPoor
2603773,Abies nordmanniana,DryPoor
2603774,Abies nordmanniana,DryPoor
2603775,Abies nordmanniana,DryPoor
2606071,Abies nordmanniana,DryPoor
2606072,Abies nordmanniana,DryPoor
2606073,Abies nordmanniana,DryPoor
2606075,Abies nordmanniana,DryPoor
2608371,Abies nordmanniana,DryPoor
2608372,Abies nordmanniana,DryPoor
2608373,Abies nordmanniana,DryPoor
2608375,Abies nordmanniana,DryPoor
2610672,Abies nordmanniana,DryPoor
2610673,Abies nordmanniana,DryPoor
2610674,Abies nordmanniana,DryPoor
2610675,Abies nordmanniana,DryPoor
2610753,Abies nordmanniana,DryPoor
2610754,Abies nordmanniana,DryPoor
2613052,Abies nordmanniana,DryPoor
2613053,Abies nordmanniana,DryPoor
2613054,Abies nordmanniana,DryPoor
2613055,Abies nordmanniana,DryPoor
2615352,Abies nordmanniana,DryPoor
2615353,Abies nordmanniana,DryPoor
2615355,Abies nordmanniana,DryPoor
2617652,Abies nordmanniana,DryPoor
2617653,Abies nordmanniana,DryPoor
2617654,Abies nordmanniana,DryPoor
2617655,Abies nordmanniana,DryPoor
2619952,Abies nordmanniana,DryPoor
2619954,Abies nordmanniana,DryPoor
2624800,Abies nordmanniana,DryPoor
2624802,Abies nordmanniana,DryPoor
2627100,Abies nordmanniana,DryPoor
2631690,Abies nordmanniana,DryPoor
2632136,Abies nordmanniana,DryPoor
2632137,Abies nordmanniana,DryPoor
2634430,Abies nordmanniana,DryPoor
2634431,Abies nordmanniana,DryPoor
2634435,Abies nordmanniana,DryPoor
2634436,Abies nordmanniana,DryPoor
2634437,Abies nordmanniana,DryPoor
2636729,Abies nordmanniana,DryPoor
2636730,Abies nordmanniana,DryPoor
2636731,Abies nordmanniana,DryPoor
2638359,Abies nordmanniana,DryPoor
2638360,Abies nordmanniana,DryPoor
2638588,Abies nordmanniana,DryPoor
2638589,Abies nordmanniana,DryPoor
2639029,Abies nordmanniana,DryPoor
2639030,Abies nordmanniana,DryPoor
2639031,Abies nordmanniana,DryPoor
2639037,Abies nordmanniana,DryPoor
2639038,Abies nordmanniana,DryPoor
2640657,Abies nordmanniana,DryPoor
2640659,Abies nordmanniana,DryPoor
2641329,Abies nordmanniana,DryPoor
2641330,Abies nordmanniana,DryPoor
2641331,Abies nordmanniana,DryPoor
2641332,Abies nordmanniana,DryPoor
2641337,Abies nordmanniana,DryPoor
2643630,Abies nordmanniana,DryPoor
2643631,Abies nordmanniana,DryPoor
2643632,Abies nordmanniana,DryPoor
2645257,Abies nordmanniana,DryPoor
2645259,Abies nordmanniana,DryPoor
2645260,Abies nordmanniana,DryPoor
2645464,Abies nordmanniana,DryPoor
2647558,Abies nordmanniana,DryPoor
2647762,Abies nordmanniana,DryPoor
2647763,Abies nordmanniana,DryPoor
2649693,Abies nordmanniana,DryPoor
2649695,Abies nordmanniana,DryPoor
2650062,Abies nordmanniana,DryPoor
2650063,Abies nordmanniana,DryPoor
2650076,Abies nordmanniana,DryPoor
2650080,Abies nordmanniana,DryPoor
2652364,Abies nordmanniana,DryPoor
2652365,Abies nordmanniana,DryPoor
2661353,Abies nordmanniana,DryPoor
2661355,Abies nordmanniana,DryPoor
2663652,Abies nordmanniana,DryPoor
2663654,Abies nordmanniana,DryPoor
2663656,Abies nordmanniana,DryPoor
2665952,Abies nordmanniana,DryPoor
2665953,Abies nordmanniana,DryPoor
2665956,Abies nordmanniana,DryPoor
2668253,Abies nordmanniana,DryPoor
2668256,Abies nordmanniana,DryPoor
2670553,Abies nordmanniana,DryPoor
2670554,Abies nordmanniana,DryPoor
2670555,Abies nordmanniana,DryPoor
2672739,Abies nordmanniana,DryPoor
2672740,Abies nordmanniana,DryPoor
2675038,Abies nordmanniana,DryPoor
2675040,Abies nordmanniana,DryPoor
2675041,Abies nordmanniana,DryPoor
2677338,Abies nordmanniana,DryPoor
2677340,Abies nordmanniana,DryPoor
2677341,Abies nordmanniana,DryPoor
2677342,Abies nordmanniana,DryPoor
2679638,Abies nordmanniana,DryPoor
2679639,Abies nordmanniana,DryPoor
2679640,Abies nordmanniana,DryPoor
2679641,Abies nordmanniana,DryPoor
2681938,Abies nordmanniana,DryPoor
2681939,Abies nordmanniana,DryPoor
2681940,Abies nordmanniana,DryPoor
2681941,Abies nordmanniana,DryPoor
2691175,Abies nordmanniana,DryPoor
2691176,Abies nordmanniana,DryPoor
2693475,Abies nordmanniana,DryPoor
2693476,Abies nordmanniana,DryPoor
2693477,Abies nordmanniana,DryPoor
2695773,Abies nordmanniana,DryPoor
2695775,Abies nordmanniana,DryPoor
2695776,Abies nordmanniana,DryPoor
2698074,Abies nordmanniana,DryPoor
2698075,Abies nordmanniana,DryPoor
2698076,Abies nordmanniana,DryPoor
2698077,Abies nordmanniana,DryPoor
2700374,Abies nordmanniana,DryPoor
2700375,Abies nordmanniana,DryPoor
2700376,Abies nordmanniana,DryPoor
2700377,Abies nordmanniana,DryPoor
2714350,Abies nordmanniana,DryPoor
2714351,Abies nordmanniana,DryPoor
2716649,Abies nordmanniana,DryPoor
2716650,Abies nordmanniana,DryPoor
2716651,Abies nordmanniana,DryPoor
2716652,Abies nordmanniana,DryPoor
2716722,Abies nordmanniana,DryPoor
2718949,Abies nordmanniana,DryPoor
2718950,Abies nordmanniana,DryPoor
2718951,Abies nordmanniana,DryPoor
2718952,Abies nordmanniana,DryPoor
2718953,Abies nordmanniana,DryPoor
2721095,Abies nordmanniana,DryPoor
2721096,Abies nordmanniana,DryPoor
2721249,Abies nordmanniana,DryPoor
2721250,Abies nordmanniana,DryPoor
2721251,Abies nordmanniana,DryPoor
2721252,Abies nordmanniana,DryPoor
2721253,Abies nordmanniana,DryPoor
2721315,Abies nordmanniana,DryPoor
2723393,Abies nordmanniana,DryPoor
2723394,Abies nordmanniana,DryPoor
2723395,Abies nordmanniana,DryPoor
2723397,Abies nordmanniana,DryPoor
2723549,Abies nordmanniana,DryPoor
2723550,Abies nordmanniana,DryPoor
2723551,Abies nordmanniana,DryPoor
2723552,Abies nordmanniana,DryPoor
2723615,Abies nordmanniana,DryPoor
2723616,Abies nordmanniana,DryPoor
2723618,Abies nordmanniana,DryPoor
2723619,Abies nordmanniana,DryPoor
2725693,Abies nordmanniana,DryPoor
2725695,Abies nordmanniana,DryPoor
2725696,Abies nordmanniana,DryPoor
2725697,Abies nordmanniana,DryPoor
2725915,Abies nordmanniana,DryPoor
2725919,Abies nordmanniana,DryPoor
2727993,Abies nordmanniana,DryPoor
2727994,Abies nordmanniana,DryPoor
2727996,Abies nordmanniana,DryPoor
2727997,Abies nordmanniana,DryPoor
2730294,Abies nordmanniana,DryPoor
2730295,Abies nordmanniana,DryPoor
2730296,Abies nordmanniana,DryPoor
2739591,Abies nordmanniana,DryPoor
2741889,Abies nordmanniana,DryPoor
2741890,Abies nordmanniana,DryPoor
2741891,Abies nordmanniana,DryPoor
2741893,Abies nordmanniana,DryPoor
2744189,Abies nordmanniana,DryPoor
2744190,Abies nordmanniana,DryPoor
2744192,Abies nordmanniana,DryPoor
2744193,Abies nordmanniana,DryPoor
2746489,Abies nordmanniana,DryPoor
2746490,Abies nordmanniana,DryPoor
2746491,Abies nordmanniana,DryPoor
2746493,Abies nordmanniana,DryPoor
2748575,Abies nordmanniana,DryPoor
2748790,Abies nordmanniana,DryPoor
2750874,Abies nordmanniana,DryPoor
2750875,Abies nordmanniana,DryPoor
2753174,Abies nordmanniana,DryPoor
2753175,Abies nordmanniana,DryPoor
2753292,Abies nordmanniana,DryPoor
2753620,Abies nordmanniana,DryPoor
2755474,Abies nordmanniana,DryPoor
2755475,Abies nordmanniana,DryPoor
2755591,Abies nordmanniana,DryPoor
2755592,Abies nordmanniana,DryPoor
2755593,Abies nordmanniana,DryPoor
2755594,Abies nordmanniana,DryPoor
2755920,Abies nordmanniana,DryPoor
2755921,Abies nordmanniana,DryPoor
2757774,Abies nordmanniana,DryPoor
2757891,Abies nordmanniana,DryPoor
2757892,Abies nordmanniana,DryPoor
2757893,Abies nordmanniana,DryPoor
2757894,Abies nordmanniana,DryPoor
2758219,Abies nordmanniana,DryPoor
2758221,Abies nordmanniana,DryPoor
2758222,Abies nordmanniana,DryPoor
2758223,Abies nordmanniana,DryPoor
2760190,Abies nordmanniana,DryPoor
2760191,Abies nordmanniana,DryPoor
2760192,Abies nordmanniana,DryPoor
2760522,Abies nordmanniana,DryPoor
2760523,Abies nordmanniana,DryPoor
2762491,Abies nordmanniana,DryPoor
2762492,Abies nordmanniana,DryPoor
2762493,Abies nordmanniana,DryPoor
2762494,Abies nordmanniana,DryPoor
2762821,Abies nordmanniana,DryPoor
2762822,Abies nordmanniana,DryPoor
2776316,Abies nordmanniana,DryPoor
2776317,Abies nordmanniana,DryPoor
2776318,Abies nordmanniana,DryPoor
2776388,Abies nordmanniana,DryPoor
2776389,Abies nordmanniana,DryPoor
2778615,Abies nordmanniana,DryPoor
2778618,Abies nordmanniana,DryPoor
2778619,Abies nordmanniana,DryPoor
2778687,Abies nordmanniana,DryPoor
2778690,Abies nordmanniana,DryPoor
2778691,Abies nordmanniana,DryPoor
2780915,Abies nordmanniana,DryPoor
2780916,Abies nordmanniana,DryPoor
2780917,Abies nordmanniana,DryPoor
2780988,Abies nordmanniana,DryPoor
2780989,Abies nordmanniana,DryPoor
2780990,Abies nordmanniana,DryPoor
2780991,Abies nordmanniana,DryPoor
2783215,Abies nordmanniana,DryPoor
2783216,Abies nordmanniana,DryPoor
2783217,Abies nordmanniana,DryPoor
2783218,Abies nordmanniana,DryPoor
2783288,Abies nordmanniana,DryPoor
2783289,Abies nordmanniana,DryPoor
2783291,Abies nordmanniana,DryPoor
2785516,Abies nordmanniana,DryPoor
2785517,Abies nordmanniana,DryPoor
2785588,Abies nordmanniana,DryPoor
2788799,Abies nordmanniana,DryPoor
2788800,Abies nordmanniana,DryPoor
2788801,Abies nordmanniana,DryPoor
2791099,Abies nordmanniana,DryPoor
2791100,Abies nordmanniana,DryPoor
2792505,Abies nordmanniana,DryPoor
2793398,Abies nordmanniana,DryPoor
2793399,Abies nordmanniana,DryPoor
2793400,Abies nordmanniana,DryPoor
2794804,Abies nordmanniana,DryPoor
2794805,Abies nordmanniana,DryPoor
2794806,Abies nordmanniana,DryPoor
2795699,Abies nordmanniana,DryPoor
2795700,Abies nordmanniana,DryPoor
2797105,Abies nordmanniana,DryPoor
2797999,Abies nordmanniana,DryPoor
2799406,Abies nordmanniana,DryPoor
2799407,Abies nordmanniana,DryPoor
2800298,Abies nordmanniana,DryPoor
2801670,Abies nordmanniana,DryPoor
2801671,Abies nordmanniana,DryPoor
2801672,Abies nordmanniana,DryPoor
2801673,Abies nordmanniana,DryPoor
2801704,Abies nordmanniana,DryPoor
2801705,Abies nordmanniana,DryPoor
2803971,Abies nordmanniana,DryPoor
2803972,Abies nordmanniana,DryPoor
2821035,Abies nordmanniana,DryPoor
2824660,Abies nordmanniana,DryPoor
2824661,Abies nordmanniana,DryPoor
2824662,Abies nordmanniana,DryPoor
2826959,Abies nordmanniana,DryPoor
2826960,Abies nordmanniana,DryPoor
2826962,Abies nordmanniana,DryPoor
2826963,Abies nordmanniana,DryPoor
2829260,Abies nordmanniana,DryPoor
2829262,Abies nordmanniana,DryPoor
2829263,Abies nordmanniana,DryPoor
2831490,Abies nordmanniana,DryPoor
2831491,Abies nordmanniana,DryPoor
2831493,Abies nordmanniana,DryPoor
2831559,Abies nordmanniana,DryPoor
2831560,Abies nordmanniana,DryPoor
2831561,Abies nordmanniana,DryPoor
2831563,Abies nordmanniana,DryPoor
2833790,Abies nordmanniana,DryPoor
2833791,Abies nordmanniana,DryPoor
2833793,Abies nordmanniana,DryPoor
2833860,Abies nordmanniana,DryPoor
2833861,Abies nordmanniana,DryPoor
2836090,Abies nordmanniana,DryPoor
2836091,Abies nordmanniana,DryPoor
2836093,Abies nordmanniana,DryPoor
2836094,Abies nordmanniana,DryPoor
2838393,Abies nordmanniana,DryPoor
2843234,Abies nordmanniana,DryPoor
2850949,Abies nordmanniana,DryPoor
2860147,Abies nordmanniana,DryPoor
2864737,Abies nordmanniana,DryPoor
2867036,Abies nordmanniana,DryPoor
2867037,Abies nordmanniana,DryPoor
2867038,Abies nordmanniana,DryPoor
2871637,Abies nordmanniana,DryPoor
2873936,Abies nordmanniana,DryPoor
2879690,Abies nordmanniana,DryPoor
2880823,Abies nordmanniana,DryPoor
2882052,Abies nordmanniana,DryPoor
2882053,Abies nordmanniana,DryPoor
2882054,Abies nordmanniana,DryPoor
2882055,Abies nordmanniana,DryPoor
2883123,Abies nordmanniana,DryPoor
2884352,Abies nordmanniana,DryPoor
2884353,Abies nordmanniana,DryPoor
2884355,Abies nordmanniana,DryPoor
2884864,Abies nordmanniana,DryPoor
2886588,Abies nordmanniana,DryPoor
2886589,Abies nordmanniana,DryPoor
2886652,Abies nordmanniana,DryPoor
2886653,Abies nordmanniana,DryPoor
2886656,Abies nordmanniana,DryPoor
2888953,Abies nordmanniana,DryPoor
2888954,Abies nordmanniana,DryPoor
2888955,Abies nordmanniana,DryPoor
2889270,Abies nordmanniana,DryPoor
2889271,Abies nordmanniana,DryPoor
2891253,Abies nordmanniana,DryPoor
2891254,Abies nordmanniana,DryPoor
2891571,Abies nordmanniana,DryPoor
2893871,Abies nordmanniana,DryPoor
2896169,Abies nordmanniana,DryPoor
2896171,Abies nordmanniana,DryPoor
2898469,Abies nordmanniana,DryPoor
2898470,Abies nordmanniana,DryPoor
2898471,Abies nordmanniana,DryPoor
2926241,Abies nordmanniana,DryPoor
2926242,Abies nordmanniana,DryPoor
2926243,Abies nordmanniana,DryPoor
2926244,Abies nordmanniana,DryPoor
2928540,Abies nordmanniana,DryPoor
2928542,Abies nordmanniana,DryPoor
2928543,Abies nordmanniana,DryPoor
2930611,Abies nordmanniana,DryPoor
2930614,Abies nordmanniana,DryPoor
2930842,Abies nordmanniana,DryPoor
2930843,Abies nordmanniana,DryPoor
2930844,Abies nordmanniana,DryPoor
2932761,Abies nordmanniana,DryPoor
2932810,Abies nordmanniana,DryPoor
2932811,Abies nordmanniana,DryPoor
2933142,Abies nordmanniana,DryPoor
2933143,Abies nordmanniana,DryPoor
2933144,Abies nordmanniana,DryPoor
2933179,Abies nordmanniana,DryPoor
2935061,Abies nordmanniana,DryPoor
2935062,Abies nordmanniana,DryPoor
2935063,Abies nordmanniana,DryPoor
2935109,Abies nordmanniana,DryPoor
2935110,Abies nordmanniana,DryPoor
2935211,Abies nordmanniana,DryPoor
2935477,Abies nordmanniana,DryPoor
2935478,Abies nordmanniana,DryPoor
2935479,Abies nordmanniana,DryPoor
2937360,Abies nordmanniana,DryPoor
2937361,Abies nordmanniana,DryPoor
2937362,Abies nordmanniana,DryPoor
2937363,Abies nordmanniana,DryPoor
2937409,Abies nordmanniana,DryPoor
2937410,Abies nordmanniana,DryPoor
2937411,Abies nordmanniana,DryPoor
2937412,Abies nordmanniana,DryPoor
2937413,Abies nordmanniana,DryPoor
2937513,Abies nordmanniana,DryPoor
2937777,Abies nordmanniana,DryPoor
2937779,Abies nordmanniana,DryPoor
2939660,Abies nordmanniana,DryPoor
2939661,Abies nordmanniana,DryPoor
2939662,Abies nordmanniana,DryPoor
2939663,Abies nordmanniana,DryPoor
2939709,Abies nordmanniana,DryPoor
2939711,Abies nordmanniana,DryPoor
2939713,Abies nordmanniana,DryPoor
2940076,Abies nordmanniana,DryPoor
2940077,Abies nordmanniana,DryPoor
2940078,Abies nordmanniana,DryPoor
2940080,Abies nordmanniana,DryPoor
2941961,Abies nordmanniana,DryPoor
2941962,Abies nordmanniana,DryPoor
2941963,Abies nordmanniana,DryPoor
2942012,Abies nordmanniana,DryPoor
2942377,Abies nordmanniana,DryPoor
2942378,Abies nordmanniana,DryPoor
2953668,Abies nordmanniana,DryPoor
2955970,Abies nordmanniana,DryPoor
2958267,Abies nordmanniana,DryPoor
2962870,Abies nordmanniana,DryPoor
2970471,Abies nordmanniana,DryPoor
2974358,Abies nordmanniana,DryPoor
2976422,Abies nordmanniana,DryPoor
2976423,Abies nordmanniana,DryPoor
2978721,Abies nordmanniana,DryPoor
2978722,Abies nordmanniana,DryPoor
2978723,Abies nordmanniana,DryPoor
2978724,Abies nordmanniana,DryPoor
2978725,Abies nordmanniana,DryPoor
2981013,Abies nordmanniana,DryPoor
2981014,Abies nordmanniana,DryPoor
2981016,Abies nordmanniana,DryPoor
2981021,Abies nordmanniana,DryPoor
2981022,Abies nordmanniana,DryPoor
2981023,Abies nordmanniana,DryPoor
2981024,Abies nordmanniana,DryPoor
2981025,Abies nordmanniana,DryPoor
2981026,Abies nordmanniana,DryPoor
2983312,Abies nordmanniana,DryPoor
2983313,Abies nordmanniana,DryPoor
2983314,Abies nordmanniana,DryPoor
2983315,Abies nordmanniana,DryPoor
2983316,Abies nordmanniana,DryPoor
2983324,Abies nordmanniana,DryPoor
2983325,Abies nordmanniana,DryPoor
2983326,Abies nordmanniana,DryPoor
2985615,Abies nordmanniana,DryPoor
